split,label,president_dir,filename,source_path,output_path,char_count
train,democrat,William_J_Clinton,"November 23, 1993__executive-order-12882presidents-committee-of-advisors-on-science-and-technology.txt","William_J_Clinton/November 23, 1993__executive-order-12882presidents-committee-of-advisors-on-science-and-technology.txt","train/democrat/William_J_Clinton/November 23, 1993__executive-order-12882presidents-committee-of-advisors-on-science-and-technology.txt",2652
train,democrat,William_J_Clinton,"December 26, 1996__executive-order-13032further-amendment-to-executive-order-no-12964.txt","William_J_Clinton/December 26, 1996__executive-order-13032further-amendment-to-executive-order-no-12964.txt","train/democrat/William_J_Clinton/December 26, 1996__executive-order-13032further-amendment-to-executive-order-no-12964.txt",680
train,democrat,William_J_Clinton,"September 15, 1994__executive-order-12927ordering-the-selected-reserve-of-the-armed-forces-to-active-duty.txt","William_J_Clinton/September 15, 1994__executive-order-12927ordering-the-selected-reserve-of-the-armed-forces-to-active-duty.txt","train/democrat/William_J_Clinton/September 15, 1994__executive-order-12927ordering-the-selected-reserve-of-the-armed-forces-to-active-duty.txt",385
train,democrat,Joseph_R_Biden_Jr,"January 20, 2021__executive-order-13991protecting-the-federal-workforce-and-requiring-mask-wearing.txt","Joseph_R_Biden_Jr/January 20, 2021__executive-order-13991protecting-the-federal-workforce-and-requiring-mask-wearing.txt","train/democrat/Joseph_R_Biden_Jr/January 20, 2021__executive-order-13991protecting-the-federal-workforce-and-requiring-mask-wearing.txt",10819
train,democrat,William_J_Clinton,"November 05, 1993__executive-order-12878bipartisan-commission-on-entitlement-reform.txt","William_J_Clinton/November 05, 1993__executive-order-12878bipartisan-commission-on-entitlement-reform.txt","train/democrat/William_J_Clinton/November 05, 1993__executive-order-12878bipartisan-commission-on-entitlement-reform.txt",3559
train,democrat,William_J_Clinton,"October 26, 1993__executive-order-12875enhancing-the-intergovernmental-partnership.txt","William_J_Clinton/October 26, 1993__executive-order-12875enhancing-the-intergovernmental-partnership.txt","train/democrat/William_J_Clinton/October 26, 1993__executive-order-12875enhancing-the-intergovernmental-partnership.txt",3525
train,democrat,Barack_Obama,"May 21, 2010__executive-order-13543national-commission-on-the-bp-deepwater-horizon-oil-spill-and-offshore-drilling.txt","Barack_Obama/May 21, 2010__executive-order-13543national-commission-on-the-bp-deepwater-horizon-oil-spill-and-offshore-drilling.txt","train/democrat/Barack_Obama/May 21, 2010__executive-order-13543national-commission-on-the-bp-deepwater-horizon-oil-spill-and-offshore-drilling.txt",4737
train,democrat,William_J_Clinton,"November 13, 1996__executive-order-13025amendment-to-executive-order-13010-the-presidents-commission-on-critical-infrastructure-protection.txt","William_J_Clinton/November 13, 1996__executive-order-13025amendment-to-executive-order-13010-the-presidents-commission-on-critical-infrastructure-protection.txt","train/democrat/William_J_Clinton/November 13, 1996__executive-order-13025amendment-to-executive-order-13010-the-presidents-commission-on-critical-infrastructure-protection.txt",732
train,democrat,William_J_Clinton,"February 02, 1998__executive-order-13072white-house-millennium-council.txt","William_J_Clinton/February 02, 1998__executive-order-13072white-house-millennium-council.txt","train/democrat/William_J_Clinton/February 02, 1998__executive-order-13072white-house-millennium-council.txt",5404
train,democrat,Barack_Obama,"December 27, 2012__executive-order-13635adjustments-of-certain-rates-of-pay.txt","Barack_Obama/December 27, 2012__executive-order-13635adjustments-of-certain-rates-of-pay.txt","train/democrat/Barack_Obama/December 27, 2012__executive-order-13635adjustments-of-certain-rates-of-pay.txt",2762
train,democrat,Joseph_R_Biden_Jr,"April 06, 2022__executive-order-14071prohibiting-new-investment-in-and-certain-services-to-the-russian-federation-in-response-to-continued-russian-federatio.txt","Joseph_R_Biden_Jr/April 06, 2022__executive-order-14071prohibiting-new-investment-in-and-certain-services-to-the-russian-federation-in-response-to-continued-russian-federatio.txt","train/democrat/Joseph_R_Biden_Jr/April 06, 2022__executive-order-14071prohibiting-new-investment-in-and-certain-services-to-the-russian-federation-in-response-to-continued-russian-federatio.txt",3448
